slice_id,kind,feature,state,side,folds,walk_forward_pass_pattern,walk_forward_pass_count,fold_mean_rets,fold_sizes,n,mean_ret_costadj,p_value,validated,horizon_bars,stop_atr_mult,hostile_n,hostile_mean_ret,regime_confounded,hostile_unproven,session_asia_n,session_asia_mean_ret_costadj,session_asia_hit_rate,session_eu_n,session_eu_mean_ret_costadj,session_eu_hit_rate,session_us_n,session_us_mean_ret_costadj,session_us_hit_rate
feat_ret_20:0:LONG:h6,SPOT,feat_ret_20,0,LONG,5,00010,1,"-0.001939,-0.002331,-0.002902,0.001582,-0.000608","1397,1279,1550,615,870",5718,-0.0017160793669911863,8.86846152070575e-12,False,6,3.5,2304,-0.001125794186415274,True,False,1930,-0.002051216412606299,0.3772020725388601,1926,-0.0013686102351494127,0.4091381100726895,1862,-0.0017281153765991823,0.3651987110633727
feat_ret_20:2:LONG:h6,SPOT,feat_ret_20,2,LONG,5,00000,0,"-0.001640,-0.000505,-0.001779,-0.001660,-0.003468","884,779,798,1095,576",4135,-0.001721606444603491,7.408182343127123e-07,False,6,3.5,77,0.0004261898760681644,False,False,1411,-0.0014991999917610983,0.3550673281360737,1315,-0.0016453445205571182,0.34980988593155893,1409,-0.0020155027789410342,0.3129879347054649
feat_ext_vs_ma_20:1:SHORT:h6,SPOT,feat_ext_vs_ma_20,1,SHORT,5,00000,0,"-0.001912,-0.001439,-0.000838,-0.002698,-0.001641","3588,3694,3395,3876,3989",18562,-0.0017222348013204473,0.0,False,6,3.5,5101,-0.0012299804464511027,True,False,6440,-0.001572648774596774,0.3385093167701863,6119,-0.0023056167677100153,0.33665631639156723,6003,-0.0012880551844226778,0.34699317008162583
feat_trend_slope_20:1:LONG:h6,SPOT,feat_trend_slope_20,1,LONG,5,00000,0,"-0.000754,-0.002287,-0.002325,-0.001417,-0.002085","3532,3718,3469,3989,4191",18919,-0.0017848521827284808,0.0,False,6,3.5,5470,-0.0006746951245463438,True,False,6307,-0.0019351331456544754,0.3445378151260504,6502,-0.001329703650546965,0.37696093509689327,6110,-0.002114075377993614,0.32274959083469723
feat_atr_norm_ext:1:LONG:h6,SPOT,feat_atr_norm_ext,1,LONG,5,00000,0,"-0.000978,-0.002346,-0.002747,-0.000813,-0.002033","3414,4282,4193,4268,4163",20336,-0.0018159249691956179,0.0,False,6,3.5,5461,-0.0009128970908663191,True,False,6825,-0.001800687434579152,0.35296703296703297,6438,-0.0012756919783059168,0.3833488661074868,7073,-0.002322360169125672,0.3185352749893963
feat_realized_vol_20:1:SHORT:h6,SPOT,feat_realized_vol_20,1,SHORT,5,00000,0,"-0.002051,-0.001189,-0.000342,-0.003524,-0.002003","3315,3548,3259,3642,3327",17107,-0.0018460150150288006,0.0,False,6,3.5,4292,-0.0013883957502681872,True,False,5714,-0.0013926315415039075,0.3694434721736087,5756,-0.0025992130044198373,0.36848505906879775,5637,-0.001536493202147202,0.34167110164981374
feat_trend_slope_20:0:SHORT:h6,SPOT,feat_trend_slope_20,0,SHORT,5,00100,1,"-0.001429,-0.002220,0.000064,-0.006009,-0.002781","1333,1223,1446,647,817",5468,-0.001953782429711134,2.816458177790082e-11,False,6,3.5,332,-0.00014039618750959532,True,False,1855,-0.0014781601650537559,0.3380053908355795,1822,-0.0032183363181436868,0.3210757409440176,1791,-0.0011599589323439252,0.3165829145728643
feat_atr_norm_ext:0:LONG:h12,SPOT,feat_atr_norm_ext,0,LONG,5,00010,1,"-0.001332,-0.000451,-0.003092,0.005186,-0.000086","1344,796,936,628,849",4562,-0.000414631019285963,0.4084732795893622,False,12,3.5,2000,0.0004910739927131421,False,False,1593,-0.0007992413454546629,0.4174513496547395,1710,-0.0005097293300764001,0.4461988304093567,1259,0.00020117705143555116,0.4924543288324067
feat_ext_vs_ma_50:2:SHORT:h12,SPOT,feat_ext_vs_ma_50,2,SHORT,5,10101,3,"0.001002,-0.001247,0.000591,-0.004273,0.002939","854,718,686,1027,452",3739,-0.0007345917112083519,0.6435016746071502,False,12,3.5,2248,-0.0003616666678960382,True,False,1154,-0.001363580753710147,0.427209705372617,1246,-0.0002488101240833103,0.47913322632423755,1339,-0.0006445472769370527,0.47423450336071693
feat_ret_3:2:SHORT:h12,SPOT,feat_ret_3,2,SHORT,5,00101,2,"-0.000866,-0.001357,0.001555,-0.003545,0.000219","966,1080,1217,1126,952",5356,-0.0007890880222857171,0.1551509567713727,False,12,3.5,1973,-0.0007522234831210009,True,False,1615,-0.001012003999533275,0.43653250773993807,1952,-0.0013511660181300341,0.4334016393442623,1789,2.543716001887334e-05,0.45556176634991613
feat_ret_1:2:SHORT:h12,SPOT,feat_ret_1,2,SHORT,5,00100,1,"-0.001112,-0.000471,0.001205,-0.003563,-0.000779","1010,1378,1444,1247,1101",6190,-0.0008662662630140449,0.044031224722666185,False,12,3.5,2011,-0.00036208645289993144,True,False,1901,-0.0005166528747930819,0.4423987375065755,2356,-0.0014852767100542417,0.42232597623089985,1933,-0.0004556229302573691,0.4371443352302121
feat_ext_vs_ma_50:0:LONG:h12,SPOT,feat_ext_vs_ma_50,0,LONG,5,00011,2,"-0.000171,-0.003097,-0.001396,0.000721,0.000644","1106,1190,1581,515,785",5194,-0.00098659106657222,0.07470894168615505,False,12,3.5,2574,-0.00021491956998157493,True,False,1767,-0.0013505465167910498,0.4187889077532541,1653,-0.001583608576666334,0.4343617664851785,1774,-6.777526909632123e-05,0.4830890642615558
feat_realized_vol_20:2:LONG:h12,SPOT,feat_realized_vol_20,2,LONG,5,11010,3,"0.001462,0.000646,-0.003193,0.001112,-0.003665","708,790,1402,625,568",4097,-0.0010662295709337301,0.24898600784420655,False,12,3.5,1080,-7.868113840178324e-05,True,False,1509,-0.0005490757936828631,0.4486414844267727,1129,-0.0027955348131974804,0.41186891054030117,1459,-0.00026293925657854434,0.43865661411925977
feat_ret_3:0:LONG:h12,SPOT,feat_ret_3,0,LONG,5,00011,2,"-0.001927,-0.001731,-0.003429,0.002807,0.000050","1262,1269,1349,998,1035",5917,-0.0010822609486938798,0.0014170312243073635,False,12,3.5,1981,0.0004986522141397868,False,False,1896,-0.0011937554675100317,0.4282700421940928,2067,-0.0015481624509754099,0.420899854862119,1954,-0.00048123125939431743,0.458546571136131
feat_ret_5:2:SHORT:h12,SPOT,feat_ret_5,2,SHORT,5,00100,1,"-0.000804,-0.001810,0.001295,-0.003506,-0.000592","855,937,1076,1116,845",4844,-0.0011029723851738555,0.06029405686498657,False,12,3.5,1943,-0.0013013269399956722,True,False,1444,-0.0018626488295359898,0.4051246537396122,1714,-0.0009929778304551976,0.4486581096849475,1686,-0.0005641573680498085,0.44187425860023727
feat_trend_slope_20:2:LONG:h12,SPOT,feat_trend_slope_20,2,LONG,5,01000,1,"-0.001419,0.000415,-0.000861,-0.000025,-0.005730","837,762,788,1067,504",3960,-0.0011372521979727509,0.05105472472872097,False,12,3.5,129,0.006952369908133404,False,False,1370,-0.0013622524123691026,0.41897810218978104,1108,-0.0010361231603982694,0.3628158844765343,1482,-0.001004863992783496,0.3825910931174089
feat_realized_vol_20:0:LONG:h12,SPOT,feat_realized_vol_20,0,LONG,5,01000,1,"-0.001929,0.000042,-0.000105,-0.000656,-0.002372","1671,1357,1032,1423,1558",7053,-0.0011419922198481318,0.4960873963944481,False,12,3.5,2204,-0.0002701091808095146,True,False,2294,-0.0010237838674354127,0.4001743679163034,2501,-0.0006059094800433152,0.3746501399440224,2258,-0.0018558597542531908,0.34145261293179807
feat_ext_vs_ma_10:0:LONG:h12,SPOT,feat_ext_vs_ma_10,0,LONG,5,00011,2,"-0.002551,-0.001929,-0.004327,0.004343,0.000557","1141,1093,1265,862,989",5356,-0.0011589563696270053,0.0028969386600021796,False,12,3.5,2044,0.0006356073330421096,False,False,1735,-0.001404718650261791,0.42420749279538905,1825,-0.0009829277146434173,0.4487671232876712,1796,-0.0011004122373573471,0.47383073496659245
feat_ext_vs_ma_10:2:SHORT:h12,SPOT,feat_ext_vs_ma_10,2,SHORT,5,00100,1,"-0.000921,-0.001862,0.001154,-0.003716,-0.000387","857,885,972,1127,795",4645,-0.00123849571617776,0.07959904354664316,False,12,3.5,1970,-0.0016663803020765097,True,False,1339,-0.0018756410087085809,0.4144884241971621,1650,-0.0012518408596150223,0.4503030303030303,1656,-0.0007100192467512792,0.4498792270531401
feat_atr_norm_ext:2:SHORT:h12,SPOT,feat_atr_norm_ext,2,SHORT,5,00001,1,"-0.000351,-0.002087,-0.002231,-0.002741,0.001270","868,550,500,730,411",3066,-0.0013055108107441283,0.03357030483179124,False,12,3.5,1291,-0.0024065832795771886,True,False,967,-0.001337335828761097,0.3857290589451913,1151,-0.000983158632122535,0.42224152910512597,948,-0.0016644270187304625,0.43776371308016876
feat_ret_1:0:LONG:h12,SPOT,feat_ret_1,0,LONG,5,00010,1,"-0.001625,-0.002038,-0.003019,0.001300,-0.000456","2005,1627,1501,1196,1133",7469,-0.0013448458086797615,0.000254738697269552,False,12,3.5,2378,-3.920035246250298e-05,True,False,2380,-0.0010619708564216465,0.43403361344537816,2676,-0.0015113792627052657,0.41143497757847536,2413,-0.001439167757872494,0.41690841276419394
