slice_id,kind,feature,state,side,n,mean_ret_costadj,median_ret_costadj,hit_rate,t_stat,p_value,bonferroni_pass,horizon_bars
feat_realized_vol_20:2:SHORT,PERP,feat_realized_vol_20,2,SHORT,194,-0.002400298301902967,-0.0022443573781575996,0.22164948453608246,-5.886330878939686,3.948634086370362e-09,True,1
feat_ret_3:0:SHORT,PERP,feat_ret_3,0,SHORT,222,-0.0024150205598167844,-0.00250093542733538,0.24324324324324326,-5.242520916858753,1.5839742895096265e-07,True,1
feat_ret_20:0:SHORT,PERP,feat_ret_20,0,SHORT,215,-0.002442840231436195,-0.002286180979429073,0.22325581395348837,-6.43066496877925,1.2704681751074531e-10,True,1
feat_ext_vs_ma_10:0:SHORT,PERP,feat_ext_vs_ma_10,0,SHORT,210,-0.002476944529036605,-0.0024241520366258904,0.23333333333333334,-5.968219940346857,2.398559129090927e-09,True,1
feat_ret_20:1:SHORT,PERP,feat_ret_20,1,SHORT,163,-0.0025723781632343784,-0.002429068819523048,0.2331288343558282,-5.080250675236931,3.7693714682873747e-07,True,1
feat_trend_slope_20:1:SHORT,PERP,feat_trend_slope_20,1,SHORT,171,-0.0025940576985999577,-0.0026475194829879787,0.23976608187134502,-4.2303840095956655,2.332927134651719e-05,True,1
feat_trend_strength_20:0:SHORT,PERP,feat_trend_strength_20,0,SHORT,187,-0.002643742689611272,-0.002546842440995187,0.20855614973262032,-5.2520278470139035,1.5043371126566285e-07,True,1
feat_realized_vol_20:1:SHORT,PERP,feat_realized_vol_20,1,SHORT,171,-0.002707821558201781,-0.0029706449221644313,0.21637426900584794,-4.638031582254339,3.5174304779950205e-06,True,1
feat_ret_5:1:SHORT,PERP,feat_ret_5,1,SHORT,176,-0.0027547614427520717,-0.0029617217106501868,0.20454545454545456,-5.189190761481406,2.1120994064816045e-07,True,1
feat_vol_regime:2:SHORT,PERP,feat_vol_regime,2,SHORT,102,-0.0027694852482290947,-0.0023980995058086683,0.21568627450980393,-4.248561475649986,2.1514760873309058e-05,True,1
feat_ret_1:1:SHORT,PERP,feat_ret_1,1,SHORT,185,-0.0029046749394228506,-0.0026262891544092757,0.22162162162162163,-6.252567519628054,4.037592482575292e-10,True,1
feat_realized_vol_20:0:SHORT,PERP,feat_realized_vol_20,0,SHORT,121,-0.0029581531076621564,-0.0027100493387868883,0.256198347107438,-5.852097422221705,4.854121327113603e-09,True,1
feat_ret_20:2:SHORT,PERP,feat_ret_20,2,SHORT,108,-0.003167811043359401,-0.0033077397224754532,0.23148148148148148,-4.250049652012853,2.1372313397050036e-05,True,1
feat_vol_regime:0:SHORT,PERP,feat_vol_regime,0,SHORT,45,-0.0031739237360345752,-0.0031485909340269267,0.2,-4.938955143626657,7.85422752169751e-07,True,1
feat_ret_5:2:SHORT,PERP,feat_ret_5,2,SHORT,181,-0.003305507370312405,-0.0028100068252218755,0.19889502762430938,-7.108736511588878,1.1710632463746151e-12,True,1
feat_ret_3:2:SHORT,PERP,feat_ret_3,2,SHORT,189,-0.003341765747447491,-0.0027100493387868883,0.2222222222222222,-6.490524888310096,8.553779906605996e-11,True,1
feat_trend_strength_20:2:SHORT,PERP,feat_trend_strength_20,2,SHORT,98,-0.0034226645615923874,-0.0032957487647395454,0.25510204081632654,-5.645936898045992,1.6428409743696193e-08,True,1
feat_ret_10:2:SHORT,PERP,feat_ret_10,2,SHORT,158,-0.003487732474812224,-0.0033299643338813942,0.16455696202531644,-8.738826877114036,0.0,True,1
feat_trend_slope_20:2:SHORT,PERP,feat_trend_slope_20,2,SHORT,116,-0.00351332736041578,-0.0034883714347110992,0.2413793103448276,-6.087019599095218,1.150318951204099e-09,True,1
feat_ret_1:2:SHORT,PERP,feat_ret_1,2,SHORT,204,-0.0035924235068441612,-0.0028865921284975202,0.20098039215686275,-8.353998281149252,0.0,True,1
feat_ext_vs_ma_10:2:SHORT,PERP,feat_ext_vs_ma_10,2,SHORT,164,-0.003736114712765207,-0.002993186794906519,0.18902439024390244,-7.541684211276141,4.6407322429331543e-14,True,1
feat_ext_vs_ma_50:2:SHORT,PERP,feat_ext_vs_ma_50,2,SHORT,77,-0.0039839160367621035,-0.003485159417211123,0.24675324675324675,-5.548306686295814,2.8844957977725016e-08,True,1
feat_ext_vs_ma_20:2:SHORT,PERP,feat_ext_vs_ma_20,2,SHORT,116,-0.004072458299797758,-0.0036759882076679105,0.1896551724137931,-7.2954469730738865,2.9753977059954195e-13,True,1
feat_atr_norm_ext:2:SHORT,PERP,feat_atr_norm_ext,2,SHORT,115,-0.004132750999923721,-0.0036886102512984718,0.17391304347826086,-7.402032257207697,1.341149413747189e-13,True,1
feat_ext_vs_ma_50:1:SHORT,PERP,feat_ext_vs_ma_50,1,SHORT,119,-0.001999527934620983,-0.0025470563320627113,0.25210084033613445,-2.7355183003932737,0.0062282123060479755,False,1
feat_vol_regime:1:SHORT,PERP,feat_vol_regime,1,SHORT,99,-0.002134747681684305,-0.002536903541288835,0.20202020202020202,-3.0211272249138394,0.002518355206517331,False,1
